#TYPE Selected.System.ServiceProcess.ServiceController
"DisplayName","Name"
"Cisco AnyConnect Secure Mobility ISE Posture Agent","aciseagent"
"Adobe Acrobat Update Service","AdobeARMservice"
"AllJoyn Router Service","AJRouter"
"Application Layer Gateway Service","ALG"
"Application Host Helper Service","AppHostSvc"
"Application Identity","AppIDSvc"
"Application Information","Appinfo"
"Application Management","AppMgmt"
"App Readiness","AppReadiness"
"Microsoft App-V Client","AppVClient"
"AppX Deployment Service (AppXSVC)","AppXSvc"
"ASP.NET State Service","aspnet_state"
"AssignedAccessManager Service","AssignedAccessManagerSvc"
"Windows Audio Endpoint Builder","AudioEndpointBuilder"
"Windows Audio","Audiosrv"
"ActiveX Installer (AxInstSV)","AxInstSV"
"BitLocker Drive Encryption Service","BDESVC"
"Base Filtering Engine","BFE"
"Background Intelligent Transfer Service","BITS"
"Background Tasks Infrastructure Service","BrokerInfrastructure"
"Bluetooth Handsfree Service","BthHFSrv"
"Bluetooth Support Service","bthserv"
"Symantec CAF Service","CAF"
"Capability Access Manager Service","camsvc"
"SMS Agent Host","CcmExec"
"Connected Devices Platform Service","CDPSvc"
"Connected Devices Platform User Service_17d7b5","CDPUserSvc_17d7b5"
"Certificate Propagation","CertPropSvc"
"Client License Service (ClipSVC)","ClipSVC"
"Configuration Manager Remote Control","CmRcService"
"COM+ System Application","COMSysApp"
"CoreMessaging","CoreMessagingRegistrar"
"Intel(R) Content Protection HECI Service","cphs"
"Intel(R) Content Protection HDCP Service","cplspcon"
"Cryptographic Services","CryptSvc"
"Offline Files","CscService"
"DCOM Server Process Launcher","DcomLaunch"
"Optimize drives","defragsvc"
"Device Association Service","DeviceAssociationService"
"Device Install Service","DeviceInstall"
"DevicesFlow_17d7b5","DevicesFlowUserSvc_17d7b5"
"DevQuery Background Discovery Broker","DevQueryBroker"
"DHCP Client","Dhcp"
"Microsoft (R) Diagnostics Hub Standard Collector Service","diagnosticshub.standardcollector.service"
"Diagnostic Execution Service","diagsvc"
"Connected User Experiences and Telemetry","DiagTrack"
"Device Management Enrollment Service","DmEnrollmentSvc"
"dmwappushsvc","dmwappushservice"
"DNS Client","Dnscache"
"Dolby DAX2 API Service","Dolby DAX2 API Service"
"Delivery Optimization","DoSvc"
"Wired AutoConfig","dot3svc"
"Diagnostic Policy Service","DPS"
"Device Setup Manager","DsmSvc"
"Data Sharing Service","DsSvc"
"Data Usage","DusmSvc"
"Extensible Authentication Protocol","Eaphost"
"Encrypting File System (EFS)","EFS"
"Embedded Mode","embeddedmode"
"Enterprise App Management Service","EntAppSvc"
"Intel(R) Dynamic Platform and Thermal Framework service","esifsvc"
"Elan Service","ETDService"
"Windows Event Log","EventLog"
"COM+ Event System","EventSystem"
"Fax","Fax"
"Function Discovery Provider Host","fdPHost"
"Function Discovery Resource Publication","FDResPub"
"File History Service","fhsvc"
"Windows Font Cache Service","FontCache"
"Windows Presentation Foundation Font Cache 3.0.0.0","FontCache3.0.0.0"
"Windows Camera Frame Server","FrameServer"
"Group Policy Client","gpsvc"
"GraphicsPerfSvc","GraphicsPerfSvc"
"Google Update Service (gupdate)","gupdate"
"Google Update Service (gupdatem)","gupdatem"
"Human Interface Device Service","hidserv"
"Hive Streaming Service","HiveStreamingService"
"HomeGroup Provider","HomeGroupProvider"
"HV Host Service","HvHost"
"Intel(R) Optane(TM) Memory Service","iaStorAfsService"
"Lenovo PM Service","IBMPMSVC"
"Windows Mobile Hotspot Service","icssvc"
"Intel(R) HD Graphics Control Panel Service","igfxCUIService2.0.0.0"
"IKE and AuthIP IPsec Keying Modules","IKEEXT"
"Windows Store Install Service","InstallService"
"IP Helper","iphlpsvc"
"IP Translation Configuration Service","IpxlatCfgSvc"
"Infrared monitor service","irmon"
"CNG Key Isolation","KeyIso"
"KtmRm for Distributed Transaction Coordinator","KtmRm"
"Server","LanmanServer"
"Workstation","LanmanWorkstation"
"Lenovo Microphone Mute","LENOVO.MICMUTE"
"Lenovo Auto Scroll","Lenovo.VIRTSCRLSVC"
"Geolocation Service","lfsvc"
"Windows License Manager Service","LicenseManager"
"Lenovo Intelligent Thermal Solution Service","LITSSVC"
"Link-Layer Topology Discovery Mapper","lltdsvc"
"TCP/IP NetBIOS Helper","lmhosts"
"Microsoft Policy Platform Local Authority","lpasvc"
"Lenovo Platform Service","LPlatSvc"
"Microsoft Policy Platform Processor","lppsvc"
"Local Session Manager","LSM"
"Downloaded Maps Manager","MapsBroker"
"MessagingService_17d7b5","MessagingService_17d7b5"
"Windows Defender Firewall","MpsSvc"
"Distributed Transaction Coordinator","MSDTC"
"Microsoft iSCSI Initiator Service","MSiSCSI"
"Windows Installer","msiserver"
"Cisco AnyConnect Network Access Manager","nam"
"Cisco AnyConnect Network Access Manager Logon Module","namlm"
"Natural Authentication","NaturalAuthentication"
"Network Connectivity Assistant","NcaSvc"
"Network Connection Broker","NcbService"
"Network Connected Devices Auto-Setup","NcdAutoSetup"
"Netlogon","Netlogon"
"Network Connections","Netman"
"Net.Msmq Listener Adapter","NetMsmqActivator"
"Net.Pipe Listener Adapter","NetPipeActivator"
"Network List Service","netprofm"
"Network Setup Service","NetSetupSvc"
"Net.Tcp Listener Adapter","NetTcpActivator"
"Net.Tcp Port Sharing Service","NetTcpPortSharing"
"Microsoft Passport Container","NgcCtnrSvc"
"Microsoft Passport","NgcSvc"
"Network Location Awareness","NlaSvc"
"Network Store Interface Service","nsi"
"Sync Host_17d7b5","OneSyncSvc_17d7b5"
"Office  Source Engine","ose"
"Peer Networking Identity Manager","p2pimsvc"
"Peer Networking Grouping","p2psvc"
"Program Compatibility Assistant Service","PcaSvc"
"BranchCache","PeerDistSvc"
"Performance Counter DLL Host","PerfHost"
"Phone Service","PhoneSvc"
"Contact Data_17d7b5","PimIndexMaintenanceSvc_17d7b5"
"Performance Logs & Alerts","pla"
"Plug and Play","PlugPlay"
"PNRP Machine Name Publication Service","PNRPAutoReg"
"Peer Name Resolution Protocol","PNRPsvc"
"IPsec Policy Agent","PolicyAgent"
"Power","Power"
"Printer Extensions and Notifications","PrintNotify"
"PrintWorkflow_17d7b5","PrintWorkflowUserSvc_17d7b5"
"User Profile Service","ProfSvc"
