"Name"|"RequiredServices"|"CanPauseAndContinue"|"CanShutdown"|"CanStop"|"DisplayName"|"DependentServices"|"MachineName"|"ServiceName"|"ServicesDependedOn"|"ServiceHandle"|"Status"|"ServiceType"|"StartType"|"Site"|"Container"
"aciseagent"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Cisco AnyConnect Secure Mobility ISE Posture Agent"|"System.ServiceProcess.ServiceController[]"|"."|"aciseagent"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Manual"||
"AdobeARMservice"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Adobe Acrobat Update Service"|"System.ServiceProcess.ServiceController[]"|"."|"AdobeARMservice"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Automatic"||
"AJRouter"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"AllJoyn Router Service"|"System.ServiceProcess.ServiceController[]"|"."|"AJRouter"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"ALG"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Application Layer Gateway Service"|"System.ServiceProcess.ServiceController[]"|"."|"ALG"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Manual"||
"AppHostSvc"|"System.ServiceProcess.ServiceController[]"|"True"|"True"|"True"|"Application Host Helper Service"|"System.ServiceProcess.ServiceController[]"|"."|"AppHostSvc"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Automatic"||
"AppIDSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Application Identity"|"System.ServiceProcess.ServiceController[]"|"."|"AppIDSvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"Appinfo"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Application Information"|"System.ServiceProcess.ServiceController[]"|"."|"Appinfo"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"AppMgmt"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Application Management"|"System.ServiceProcess.ServiceController[]"|"."|"AppMgmt"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"AppReadiness"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"App Readiness"|"System.ServiceProcess.ServiceController[]"|"."|"AppReadiness"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"AppVClient"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Microsoft App-V Client"|"System.ServiceProcess.ServiceController[]"|"."|"AppVClient"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Disabled"||
"AppXSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"AppX Deployment Service (AppXSVC)"|"System.ServiceProcess.ServiceController[]"|"."|"AppXSvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"aspnet_state"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"ASP.NET State Service"|"System.ServiceProcess.ServiceController[]"|"."|"aspnet_state"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Manual"||
"AssignedAccessManagerSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"AssignedAccessManager Service"|"System.ServiceProcess.ServiceController[]"|"."|"AssignedAccessManagerSvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
